	MCL1	Ceramide	sFas	Apoptosis	BID	S1P	Caspase	FLIP	IFNG	TCR	SMAD	P2	DISC	CREB	Fas	CTLA4	GPCR	IAP
E0_268	0.0389302616987372	0.008723548748844	0.0233814972334537	1.567628413427948	0.0162780550686391	0.1003486959154276	0.0132237043176056	0.002939270640696	0.0276615551248142	0.0093314633109344	0.0021288974760598	0.0261346201159732	0.0009212080583204	0.0058587808314038	0.0457677725437085	0.0022714796644347	0.0222335911815885	0.0402582033244328
E1_603	0.0040950844907618	0.0005961377093769	0.0219557303555661	1.5226168775078863	0.0152163674802707	0.033900274388411	0.0042369934756418	0.0408143533820174	0.0594614963553372	0.025717186501167	0.0251640103043603	0.0408496819762645	0.0072221080553612	0.031415041652305	0.0054048126489129	0.0038520211182082	0.0335650912844161	0.0099487883899323
E2_636	0.0234900282514387	0.0016994394612025	0.0109125105550978	2.0114558403418714	0.0892095590826533	0.1507265166172102	0.0023737339520963	0.0243865377379763	0.2088417010049759	0.1260317715444503	0.0036155568994301	0.0202756469380365	0.039746875004262	0.0942117501118839	0.0727440879518194	0.0024081286699344	0.0025148357727566	0.1212775326060326
E3_66	0.1798907825578356	0.0110926732517784	0.013753650178472	1.939375091079505	0.0844763288525727	0.1411811118473577	0.0014458436346094	0.0776493870850126	0.0864146105763779	0.1899087021521861	0.0959241139926216	0.0272407227751116	0.0005711202574426	0.0067285076289861	0.1478658697066909	0.0099577423797531	0.0179477521462728	0.0381688100085469
E4_142	0.0031258671157287	0.000207327065109	0.0336879632874253	1.9975920875177915	0.0479312938282932	0.0007719085695252	0.0251054784059645	0.005464955936651	0.0057368421466523	0.0143765740638448	0.0058619993821295	0.0137825807164793	0.0187050461857947	0.0343851490961582	0.1172841200920671	0.0040992129504755	0.0115967636126347	0.045700352992962
E5_122	0.0187815166492315	0.0134780946928802	0.0380392000697745	2.228672260743897	0.0085597798459395	0.1023909957642045	0.0015171641541786	0.0475708289053765	0.0031581924646107	0.0524099030727191	0.0404105737916514	0.0068829610632013	0.0087537282322019	0.0129397455477768	0.0103019795155866	0.0040161903214051	0.0219874085521196	0.0408751234691454
E6_329	0.0178742785973452	0.0042934771377308	0.0063963919450129	1.670692076680136	0.0309667379097605	0.0034596504167318	0.0174569676578396	0.0716384209597013	0.0149736541236031	0.0121252546591756	0.0324663552760359	0.0190139572177301	0.004309475121323	0.0361710233940774	0.0550441736927136	0.0608469079761409	0.0090337994452225	0.0312417878358228
E7_119	0.012771215455326	0.0280289011226845	0.0139144673722084	2.553524648725305	0.0470471998831693	0.0008165018865902	0.0124875028068707	0.0235153470739161	0.010379612448424	0.007952869566158	0.0121964157854769	0.0049007005179774	0.0124347738869124	0.0063847257306474	0.0131235881980997	0.0101030727287119	0.0321776615711432	0.0286904139632481
E8_787	0.0264497362956255	0.0007810755293865	0.0105721639926965	1.7841220645651616	0.0122385777714801	0.0097575825497871	0.0030015059802916	0.0060022814738212	0.0197650646473562	0.0149361110270561	0.0007069625247789	0.0019485276870156	0.0081690489237386	0.002203779395911	0.002362884464526	0.0056234365602994	0.0201544234992475	0.0018067998525842
E9_207	0.0001612720418444	0.0025180459307632	0.0057652044110847	1.835646113675592	0.0571635646628772	0.0099050165531048	0.0032572060025106	0.0096447425376561	0.0313971565748537	0.0317693198663142	0.015729756429435	0.0202072692621634	0.0088691013245699	0.141352969892976	0.007728824592285	0.0042698740935938	0.0043342287868714	0.0285281672201665
