,PTEN,TSC1_2,S6K1,PIP3,RAS_GTP,Erk1_2,AKT_T308,AKT,RAF,PI3K,EGFR,mTORC2,mTORC1,AKT_S473,MEK
PTEN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TSC1_2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
S6K1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
PIP3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RAS_GTP,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Erk1_2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
AKT_T308,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
AKT,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
RAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PI3K,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
EGFR,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
mTORC2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mTORC1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AKT_S473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MEK,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
