,p3LTR,HMTs,vsaRNA,RNAs2kbN,asRNA,IHMTS,RNAs2kbC,RNAs4kbC,Vpr,Tat,RNAs9kbC,Nef,RNAs4kbN,p5LTR,RNAs9kbN,p24Gag,vsiRNA,TNFalpha,NFkB,NFkappaB,Rev
p3LTR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HMTs,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
vsaRNA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNAs2kbN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asRNA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHMTS,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RNAs2kbC,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
RNAs4kbC,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Vpr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
RNAs9kbC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RNAs4kbN,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
p5LTR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
RNAs9kbN,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
p24Gag,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vsiRNA,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
TNFalpha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
NFkB,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NFkappaB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rev,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
