,MCL1,Ceramide,sFas,Apoptosis,BID,S1P,Caspase,FLIP,IFNG,TCR,SMAD,P2,DISC,CREB,Fas,CTLA4,GPCR,IAP
MCL1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ceramide,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
sFas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Apoptosis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BID,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
S1P,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Caspase,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLIP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IFNG,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
TCR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SMAD,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
P2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
DISC,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
CREB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fas,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CTLA4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
GPCR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
IAP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
