,Yhp1,B,Clb5,Cdc14,Cdc20,Cdh1,Cln2,Cln3,M,SFF,S,Swi5,MEN,SMBF,FEAR,CD,Clb2,CKI
Yhp1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
B,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Clb5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Cdc14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
Cdc20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Cdh1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Cln2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Cln3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
M,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
SFF,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
S,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Swi5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MEN,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMBF,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
FEAR,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
CD,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Clb2,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1
CKI,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
